,tweet
916380,no Goodmorning text !!
2353783,Waffle House bout to grub \ud83d\ude0b\ud83d\ude0b
4599132,@motionlessinwim Damn straight.
2908754,Can't trust these bitches \ud83d\ude45
3898741,I still can't get over #oomf Avi's \ud83d\ude0d
2587861,Diz nigga LowKey Snappn
1932573,Boys get on my nerves. Lbs
5003893,Shit bump.
3763040,Goodnight y'all ! \ud83d\ude34
1214056,All my bitches got bitches wtf I need with yo hoe ...
4989237,@King_ChiiCh finee
13659,@IamPootieTang lhh yeahhhh Jhu nigga
3454774,97.9 instagram S/o freestyle flow &gt;&gt;&gt;&gt;&gt;
4431030,@Sanfordyachtzz @JoeG206 I mean you can come but tho ain't gon be signing titties young boi
154862,@JuiceFair_Esq @ablejah U right! I did lie! #Falcons aint makin it to NFC champ game. Not if #Seahawks def playin this way!
5005591,"That money be calling my name, but I need my education as well!"
2992136,"If he give it to you good and he keep that loving hood say, \""I like it.\"""
2051521,Meek Milly - Levels \ue429
3272471,HOT AF \ud83d\udd25\ud83d\udd25\ud83d\udd25\ud83d\udd25
319257,They probably up there drinkin coffee &amp; playin grab ass #GTFOH
115616,Love posed t2 be real dont say u love somebody of u dnt mean it !
1324751,Chooooo daree bottttt
1614580,Chris Tucker the MF man on that comedy shit
1899196,Niggas betta stop texting my phone on some bae shit.
3643311,@iRush_Handicaps aw you gotta step yo game up
2281072,Shooting star young thug ft Gucci
4665638,Yepp it got em
3491167,$300 shades on in my avi u.o.e.n.o
480912,@iBaller13 lmao y'all got it!
3053287,When Joppy fired ruffin ass up today&gt;&gt;&gt;&gt;&gt;
2459518,Mike wasn't tryna hoop today
673074,#DUKE
3823812,@Dvillain_ you talk shit on there too? Put bitches on blast or nah? Lol
1125537,@Rasta_Religious ima miss dat bitch
408797,Hype aroun this bitch
3251689,Fuck around an b broke \ud83d\udcb8\ud83d\udcb8
694641,I just washed hurr.. my dumb ass got snowed on today.
1751933,My titties gon be bouncin all over the place
2503925,Shay please preach.
1816942,\u201c@UKNOWTCAM: @Theregoes_BREE sound good tgats bout it. Still ain't believin u\u201d lol alright Patna you gone see what dead hands bout
4682666,@grand_et_joli @CrazyCoolRae fuck it yeaaaa go crazy wit it. Lol
4032649,Nikko was finna get beat on that stage
2032606,Did he just say turn up? Smh wow
4103371,Lame ass niggas ain\u2019t got no fight.
2006299,My phone tooooooo dry
2798916,\u201c@Malmatic: Never trust a bitch with cherries tatted on her\u201d\ud83d\ude2d\ud83d\ude2d\ud83d\ude2d\ud83d\ude2d\ud83d\ude2d\ud83d\ude2d\ud83d\ude2d
3236775,"No that that that , that's the black on black &amp; if the bitch call ya phone that's a back hand smack . Nigga what ?!"
4347399,@JCynewski17 nahhh bro turn around
3597911,I ain't forget imma smack the shit outta shardae watch me
517911,Off work early! Wassup wit it!!!
2148740,im begging
3861764,Still up vampin
4218733,#ProjectIvanaAndZoie coming up dis Friday fuckers
4717362,thinkin bout you all the way to the crib
293459,"we conversated made her laugh, yea you know me bro..even tho I know her steelo she wild sweet yo"
3028851,I can't take it.....I can't take it kmsl
1098272,@HBTrey5 Goodmorning Lovee \u2661\u2665\u2661
3350413,Whos tryna whip to wendys
3278872,What's up wit da neediness and greediness and bitchassness of everyone lately shut da fuck up and go to school or get a job some shit damn
2486463,I'm bout to tweet funny tonight
4659375,@BankedEm22 lmao every nigga trynna go
3660375,I dislike oomfs ways &lt;&lt;&lt;&lt;&lt;&lt;
4446641,Its bout that time I get ready for work and get off 2k before it have me running late...
866994,Just hush \ud83d\ude01\ud83d\ude01\ud83d\ude01
2584356,"I heard she gotta plan, she just dancing on the side."
444097,Nicki Minaj Is Wierddd!
368328,Bitch ass wifi
552933,@K_Good lol smh and u talking about me
1497054,@_aPRODIGY where at tho
3774652,"I still say this ! \""@StonePizzleLean: I'm not Tryna be on 450' wit my free time. 450' = cup caking. Meaning da oven if you didn't know\"""
1607454,Watching dont be a menace
1964825,Bitch
1327809,Im purple ma nigga so i dont fit in that category
3544535,She got a nigga but he ant me bitch
4435675,@lacinewkirk @ColeMiko he gone learn tomorrow though!
3052241,@ErinNoBrah woahhhh txt me
2236856,@souljaboy u wavey Bruh \ud83c\udf0a
324588,@_Kiss_Meee yu sholl no wat ta say..
405436,People ask me wat im doin
2929632,@BlndeBombShell_ ok wen u comin
5083179,These hoes ain't loyal man they rotate
2520187,All I need is one gud ass sneeze n ill b gud
4601072,\u201c@UrFavritAsshole: I HOPE MA EX GETS AN STD FA CHRISTMAS\u201d\ud83d\ude39\ud83d\ude39\ud83d\ude39\ud83d\ude2d
3077512,Keep dropping my name nigga....I see you you hoe ass motherfucker
2550432,I need a fat ass kush blunt
73816,Blowed af still
738197,@mmsred  @Reuters @reuterspictures smh @LACOSTE
4535193,I don made a million dollars and I didn't go to college.. I gotta keep it 1000 - Rich Homie quan
4235797,@FIYKid_Z_Perez7 bet
4361216,"Come thru come thru come thru come thru, girl you know we got things to do. V"
