,tweet
9964852,@haleylemire18 I've always wanted to go to that! Just an FYI though I'm a huge pussy by the way haha.
7595682,3 hours of studying last night and I saw none of that shit on my exam.. #FML
3656577,beachin all day everyday 24/7
477753,@GreenLightJones I'm ready to see how you gonna look with a baby. I'm ready for the new addition to the team!!
11278615,I had surgery exactly a month ago and it's as of though it never happened
10374751,Kim is engaged .... Hopefully this last longer then 72 days .
10783920,Really wish the #Tigers could score a run. #nosticks
8280310,New shampoo confuses me every time I smell apples. It's so strong!
11262670,I hate when I accidentally press the wrong name on snapchat and don't realize it until after I send it
5548535,"@slowtwerk \""diamonds are forever so encrust your testicles in them. Your balls will propel you into the future.\"""
9111105,I cannot be sober when she's behind the wheel.
6457070,I pray to god I'm not there allll day! I'll seriously cry! I just want to cuddle with my boyfriend!!
7902310,"@gritzmer thought the game tonight was in Indiana, cause he's just watched that series, didn't think it'd go six or seven #meetpat"
11809825,God do I miss sitting around listening to Sam Cooke and talking about the galaxies above\ud83d\ude14
4600217,@hotshotdiva24 @DancingABC is this the first year you can bite 12 times?Last time I watched we could only vote 5 times!!
8860276,The forecast for today is that there is a 100% chance that I will fall asleep in class today.
8038986,Fun night with a few friends. Always some good laughs. Nice to have night like this before school begins.
2854471,"\""A shelter for parrots, macaws and exotic birds... at Bryant Park from 11:30 a.m. to 2 p.m.\"" @sonyag28 lunch break?"
6307394,Ready to take on this anatomy lab practical #letsdothis #getit
7595339,@joelleaaud I'm not sure if they're vandalizing anyone's house or what they're doing so can you come check it out?
2779814,Bahahahahah greatest thing of my life
2579169,@shelbidickerson crotch shot
9334520,"\""People don't turn down money; it's what separates us from the animals!\"" #Seinfeld"
12176092,I'm literally so blessed. \ud83d\udc9c
6869296,#ACMs
7462509,I want lots of hot pictures of my friends tonight. @kara11lynn @MajaHaney @megmae25 @DarrieRay14
619971,"@PacificNWHippy I've been to both, quiet a few times. Great area, very similar to here!"
11667541,i miss having uniforms choosing something to wear everyday sucks
3153264,"@chris_lugo hey bud, just tried logging into Cavie site using a mobile device, and it's going to some bank page. Wanted you to know"
12259917,3 days of pain is 3 too many in my opinion :/ doctors tomorrow..
4204816,"\u201c@brookesheldonn: Not everything in my life is exactly where I want it right now, but I'm still just genuinely happy and I love it\ud83d\ude0a\u2764'"
10522108,I absolutely love my best friends.
4982239,Everyone better be at the game Friday.
12166179,@HooliganForLif3 is the one who is always  by my side during the good and bad \u2665
6739014,@whitehouse @whlive. We are moving forward with this #SOTU. Great policies.
6148522,I really hate school because people i hate are there and it gives me anxiety omf
12438742,\u201c@David_Ruffinn: I'm at work how my Panthers looking\u201d they're up 10 to 6
12388620,Holy crap. I don't think people understand how weird my dreams are.
8157416,I don't know a thing about soccer other than some of the player's names \ud83d\ude02
6023157,#truelife I'm addicted to snap chat
11435027,Every day I thank god for hair that actually grows \ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02
2579625,my mood is better now so I'm gonna go lay out and catch so rays \ud83d\ude0e
3706344,Cleaver darn
