,tweet,class,predLabel
0,no Goodmorning text !!,0,2
1,Waffle House bout to grub \ud83d\ude0b\ud83d\ude0b,0,2
2,@motionlessinwim Damn straight.,0,1
3,Can't trust these bitches \ud83d\ude45,0,1
4,I still can't get over #oomf Avi's \ud83d\ude0d,0,2
5,Diz nigga LowKey Snappn,0,0
6,Boys get on my nerves. Lbs,0,2
7,Shit bump.,0,1
8,Goodnight y'all ! \ud83d\ude34,0,2
9,All my bitches got bitches wtf I need with yo hoe ...,0,1
10,@King_ChiiCh finee,0,2
11,@IamPootieTang lhh yeahhhh Jhu nigga,0,0
12,97.9 instagram S/o freestyle flow &gt;&gt;&gt;&gt;&gt;,0,2
13,@Sanfordyachtzz @JoeG206 I mean you can come but tho ain't gon be signing titties young boi,0,2
14,@JuiceFair_Esq @ablejah U right! I did lie! #Falcons aint makin it to NFC champ game. Not if #Seahawks def playin this way!,0,2
15,"That money be calling my name, but I need my education as well!",0,2
16,"If he give it to you good and he keep that loving hood say, \""I like it.\""",0,0
17,Meek Milly - Levels \ue429,0,2
18,HOT AF \ud83d\udd25\ud83d\udd25\ud83d\udd25\ud83d\udd25,0,2
19,They probably up there drinkin coffee &amp; playin grab ass #GTFOH,0,1
20,Love posed t2 be real dont say u love somebody of u dnt mean it !,0,2
21,Chooooo daree bottttt,0,2
22,Chris Tucker the MF man on that comedy shit,0,1
23,Niggas betta stop texting my phone on some bae shit.,0,1
24,@iRush_Handicaps aw you gotta step yo game up,0,2
25,Shooting star young thug ft Gucci,0,2
26,Yepp it got em,0,2
27,$300 shades on in my avi u.o.e.n.o,0,2
28,@iBaller13 lmao y'all got it!,0,2
29,When Joppy fired ruffin ass up today&gt;&gt;&gt;&gt;&gt;,0,1
30,Mike wasn't tryna hoop today,0,2
31,#DUKE,0,2
32,@Dvillain_ you talk shit on there too? Put bitches on blast or nah? Lol,0,1
33,@Rasta_Religious ima miss dat bitch,0,1
34,Hype aroun this bitch,0,1
35,Fuck around an b broke \ud83d\udcb8\ud83d\udcb8,0,1
36,I just washed hurr.. my dumb ass got snowed on today.,0,1
37,My titties gon be bouncin all over the place,0,2
38,Shay please preach.,0,2
39,\u201c@UKNOWTCAM: @Theregoes_BREE sound good tgats bout it. Still ain't believin u\u201d lol alright Patna you gone see what dead hands bout,0,2
40,@grand_et_joli @CrazyCoolRae fuck it yeaaaa go crazy wit it. Lol,0,1
41,Nikko was finna get beat on that stage,0,2
42,Did he just say turn up? Smh wow,0,2
43,Lame ass niggas ain\u2019t got no fight.,0,0
44,My phone tooooooo dry,0,2
45,\u201c@Malmatic: Never trust a bitch with cherries tatted on her\u201d\ud83d\ude2d\ud83d\ude2d\ud83d\ude2d\ud83d\ude2d\ud83d\ude2d\ud83d\ude2d\ud83d\ude2d,0,1
46,"No that that that , that's the black on black &amp; if the bitch call ya phone that's a back hand smack . Nigga what ?!",0,1
47,@JCynewski17 nahhh bro turn around,0,2
48,I ain't forget imma smack the shit outta shardae watch me,0,1
49,Off work early! Wassup wit it!!!,0,2
50,im begging,0,2
51,Still up vampin,0,2
52,#ProjectIvanaAndZoie coming up dis Friday fuckers,0,2
53,thinkin bout you all the way to the crib,0,2
54,"we conversated made her laugh, yea you know me bro..even tho I know her steelo she wild sweet yo",0,2
55,I can't take it.....I can't take it kmsl,0,2
56,@HBTrey5 Goodmorning Lovee \u2661\u2665\u2661,0,2
57,Whos tryna whip to wendys,0,2
58,What's up wit da neediness and greediness and bitchassness of everyone lately shut da fuck up and go to school or get a job some shit damn,0,1
59,I'm bout to tweet funny tonight,0,2
60,@BankedEm22 lmao every nigga trynna go,0,0
61,I dislike oomfs ways &lt;&lt;&lt;&lt;&lt;&lt;,0,2
62,Its bout that time I get ready for work and get off 2k before it have me running late...,0,2
63,Just hush \ud83d\ude01\ud83d\ude01\ud83d\ude01,0,2
64,"I heard she gotta plan, she just dancing on the side.",0,2
65,Nicki Minaj Is Wierddd!,0,2
66,Bitch ass wifi,0,1
67,@K_Good lol smh and u talking about me,0,2
68,@_aPRODIGY where at tho,0,2
69,"I still say this ! \""@StonePizzleLean: I'm not Tryna be on 450' wit my free time. 450' = cup caking. Meaning da oven if you didn't know\""",0,2
70,Watching dont be a menace,0,2
71,Bitch,0,1
72,Im purple ma nigga so i dont fit in that category,0,0
73,She got a nigga but he ant me bitch,0,0
74,@lacinewkirk @ColeMiko he gone learn tomorrow though!,0,2
75,@ErinNoBrah woahhhh txt me,0,2
76,@souljaboy u wavey Bruh \ud83c\udf0a,0,2
77,@_Kiss_Meee yu sholl no wat ta say..,0,2
78,People ask me wat im doin,0,2
79,@BlndeBombShell_ ok wen u comin,0,0
80,These hoes ain't loyal man they rotate,0,1
81,All I need is one gud ass sneeze n ill b gud,0,1
82,\u201c@UrFavritAsshole: I HOPE MA EX GETS AN STD FA CHRISTMAS\u201d\ud83d\ude39\ud83d\ude39\ud83d\ude39\ud83d\ude2d,0,2
83,Keep dropping my name nigga....I see you you hoe ass motherfucker,0,1
84,I need a fat ass kush blunt,0,0
85,Blowed af still,0,2
86,@mmsred  @Reuters @reuterspictures smh @LACOSTE,0,2
87,I don made a million dollars and I didn't go to college.. I gotta keep it 1000 - Rich Homie quan,0,2
88,@FIYKid_Z_Perez7 bet,0,2
89,"Come thru come thru come thru come thru, girl you know we got things to do. V",0,2
90,@anthoulaaa chicken. N Philly steak pie n the kickers \ud83d\udc4c\ud83d\udc4c\ud83d\udc4c,0,2
91,Morning,0,2
92,Jami is funny af,0,2
93,yall dudes have no respect for females... and yall females have no respect for ya selves,0,2
94,@_TheRealSonny my boyyyy Sonny .!!!,0,2
95,Females just got a job yesterday talking bout they don't fuck with broke niggas. So what was you doing a week ago??!!,0,1
96,Goodmorning MGIP,0,2
97,Tell them that all we had is gone now.,0,2
98,I hate when ppl interrupt my porn watching tho frfr,0,2
99,Lol He Eatin Im Finna Leave His Ass Cus I Got A Spare Key To His Car lol \ue011,0,1
100,She got what? Oh imma still hit tho! #TweetLikeTheOppositeGender,0,2
101,My son his talking my head off,0,2
102,Morning \ud83c\udf1e\u2b50\u2600\ud83d\udc9b,0,2
103,Oomf's fiiiinnnneeee,0,2
104,@_YOUNG____ \ud83d\ude02\ud83d\ude02\ud83d\ude02 shid watch,0,2
105,Gotta glo people like to stare,0,2
106,#GhettoWaysToDie twerkinggg\ud83d\ude02,0,2
107,". they all just keep sayin \""i hear ya yanaa\"" oh. yall ain finna just finna hear me yall finna see me hell .",0,2
108,This Cole world is heat doe,0,2
109,Keia Reads My Mind Lol,0,2
110,@truly_faded ya baby cool?  Lol,0,2
111,@iLLWilishh still waiting on u,0,2
112,Yoo just got off tp with Daunte boy we was dyinggg omfg lmfao,0,2
113,@SaiSai3000 check dm,0,2
